Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,7 Day MA
2026-03-23 00:00:00+05:30,2365.0,2406.800048828125,2348.0,2383.800048828125,3860515,0.0,0.0,,
2026-03-24 00:00:00+05:30,2404.10009765625,2435.39990234375,2379.10009765625,2398.800048828125,3420182,0.0,0.0,0.6292474071964982,
2026-03-25 00:00:00+05:30,2400.89990234375,2421.60009765625,2369.800048828125,2377.39990234375,5843778,0.0,0.0,-0.8921188114378031,
2026-03-27 00:00:00+05:30,2403.89990234375,2422.10009765625,2385.0,2389.800048828125,4979411,0.0,0.0,0.5215843776282814,
2026-03-30 00:00:00+05:30,2375.10009765625,2398.0,2346.199951171875,2358.89990234375,6804756,0.0,0.0,-1.2930013328741552,
2026-04-01 00:00:00+05:30,2429.0,2472.0,2397.89990234375,2408.199951171875,4132661,0.0,0.0,2.089959339908476,
2026-04-02 00:00:00+05:30,2386.0,2469.89990234375,2375.699951171875,2450.699951171875,5378361,0.0,0.0,1.7648036235246467,2395.371407645089
2026-04-06 00:00:00+05:30,2474.0,2482.0,2448.199951171875,2473.89990234375,2572417,0.0,0.0,0.9466663252994723,2408.2428152901784
2026-04-07 00:00:00+05:30,2461.0,2543.89990234375,2448.0,2539.800048828125,4516550,0.0,0.0,2.6638162046064062,2428.385672433036
2026-04-08 00:00:00+05:30,2572.0,2580.300048828125,2540.10009765625,2559.199951171875,4769337,0.0,0.0,0.7638358126932587,2454.357107979911
2026-04-09 00:00:00+05:30,2554.0,2605.0,2531.10009765625,2589.0,5628261,0.0,0.0,1.164428313406285,2482.8142438616073
2026-04-10 00:00:00+05:30,2565.800048828125,2565.800048828125,2501.10009765625,2524.300048828125,10480239,0.0,0.0,-2.499032490223063,2506.4428362165177
2026-04-13 00:00:00+05:30,2489.89990234375,2504.89990234375,2470.0,2472.60009765625,3739587,0.0,0.0,-2.0480905665662075,2515.6428571428573
2026-04-15 00:00:00+05:30,2501.89990234375,2559.0,2493.39990234375,2554.89990234375,5261384,0.0,0.0,3.3284721118271854,2530.528564453125
2026-04-16 00:00:00+05:30,2572.0,2594.0,2558.0,2576.89990234375,3905403,0.0,0.0,0.8610904865516744,2545.242850167411
2026-04-17 00:00:00+05:30,2570.0,2589.0,2555.89990234375,2581.5,2718206,0.0,0.0,0.1785128577197037,2551.1999860491073
2026-04-20 00:00:00+05:30,2587.10009765625,2594.0,2561.199951171875,2579.60009765625,2288558,0.0,0.0,-0.07359683686809504,2554.1142926897323
2026-04-21 00:00:00+05:30,2560.0,2614.0,2560.0,2610.5,2719959,0.0,0.0,1.1978563022936983,2557.185721261161
2026-04-22 00:00:00+05:30,2580.0,2580.0,2503.60009765625,2542.5,4504560,0.0,0.0,-2.6048649683968583,2559.785714285714
